Kabupaten/Kota,,,,,,,
,[SERI 2010] PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran Kabupaten/Kota (Milyar Rupiah),,,,,,
,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Jeneponto,9480.1,414.36,1441.5,4932.94,-0.85,-3210.95,13057.09
Takalar,8678.15,267,1439.77,3002.48,10.88,29.81,13428.09
Gowa,18233.84,674.47,2703.61,9120.61,7.49,8.64,30748.66
Sinjai,8874.57,215.98,1476.25,6342.63,10.73,-945.39,15974.77
Maros,14857.84,480.32,1822.18,7171.53,-12.94,4305.06,28624
Pangkajene dan Kepulauan,15314.75,450.52,1814.68,5592.46,51.09,11383.73,34607.22
Barru,6096.78,86.14,1228.05,4393.29,7.08,-1920.22,9891.13
Bone,29417.6,745.52,4604.23,17693.69,-15.85,-2429.96,50015.24
Soppeng,8618.42,263.51,1359.51,6204.6,-3,-343.86,16099.18
Wajo,16952.42,400.04,1691.55,7433.48,-50.61,-472.65,25954.22
Sidenreng Rappang,11258.12,382.66,1520.94,7507.77,-46.72,-1008.1,19614.67
Pinrang,15690.81,268.19,1925.28,9526.71,26.05,-783.63,26653.4
Enrekang,6315.62,170.62,1392.61,3813.54,19.38,-1244.44,10467.33
Luwu,12741.41,255.53,2024.62,8575.04,-78.53,-565.84,22952.23
Tana Toraja,6195.5,266.09,1311.23,3089.94,0.16,-704.38,10158.53
Luwu Utara,10918.05,256.9,1503.15,5269.82,-3.05,1743.79,19688.66
Luwu Timur,13015,382.24,1432.03,9672.61,56.69,5833.37,30391.94
Toraja Utara,7591.4,438.67,1690.17,4340.17,-3.72,-798.83,13257.86
Kota Makasar,122177.97,5173.35,18886.48,109308.52,288.2,-12771.8,243062.72
Kota Parepare,5393.5,68.77,1511.74,4066.32,6.07,-1074.22,9972.18
Kota Palopo,6402,198.37,1406.02,4379.33,4.77,-1306.58,11083.92
Buton,2916.91,73.01,941.19,1898.61,98.28,-630.74,5297.27
Muna,6038.46,114.32,1614.04,2918.19,-39.7,-1155.91,9489.41
Konawe,7491.27,163.71,1767.43,3961.16,118.66,7245.49,20747.72
Kolaka,8453.48,214.46,1298.44,15113.32,380.66,12703.03,38163.39
Konawe Selatan,9547.81,284.57,1783.98,5778.13,165.43,200.45,17760.39
Bombana,4478.13,110.05,894.86,2685.76,-86.4,1072.92,9155.32
Wakatobi,3006.58,114.87,1251.01,1833.17,140.79,-206.89,6139.54
Kolaka Utara,5096.17,96.79,855.26,4460.46,125.38,1646.65,12280.7
Buton Utara,1921.19,39.61,770.83,1570.93,18.43,-46.65,4274.35
Konawe Utara,1914.1,78.57,631.69,1432.89,-15.78,1665.66,5707.11
Kolaka Timur,4000.35,55.06,606.27,2090.97,57.34,-672.74,6137.26
Konawe Kepulauan,983.33,21.87,557.57,551.61,38.68,-180.73,1972.34
Muna Barat,3048.63,49.16,545.88,1528.31,-20.37,-1610.43,3541.18
Buton Tengah,1907.97,39.09,410.14,1195.55,-59.12,-323.56,3170.06
Buton Selatan,2251.23,49.92,474.93,1414.34,22.02,-385.83,3826.6
Kota Kendari,17274.3,346.05,8166.19,12119.2,487.16,-8372.07,30020.83
Kota Baubau,7289.52,137.79,1760.15,5391.84,23.26,-2397.76,12204.79
Boalemo,4320.41,42.14,1190.34,1326.57,139.59,-35.31,6983.74
